date,Food and beverages,Housing,Fuel and light,Clothing and footwear,Transport and communication,Health,Education,Miscellaneous,General index
2013-01-01,105.6,100.3,105.5,106.2,103.2,104.0,103.6,103.9,104.6
2013-02-01,106.6,100.4,106.0,106.8,104.2,104.5,103.9,104.4,105.3
2013-03-01,106.9,100.4,106.1,107.3,105.1,104.9,104.0,104.7,105.5
2013-04-01,107.7,100.5,106.5,107.9,104.7,105.3,105.0,104.8,106.1
2013-05-01,109.2,100.5,107.4,108.5,104.0,105.9,105.6,104.8,106.9
2013-06-01,112.2,106.6,108.3,109.3,105.1,106.4,107.4,105.8,109.3
2013-07-01,114.7,107.7,109.2,110.0,107.1,107.0,109.1,106.9,111.0
2013-08-01,116.6,108.9,109.7,110.7,108.0,107.5,109.9,107.9,112.4
2013-09-01,118.3,109.7,110.5,111.9,109.9,108.1,110.6,109.0,113.7
2013-10-01,120.2,110.5,110.9,112.8,109.5,108.6,110.8,109.2,114.8
2013-11-01,122.6,111.1,111.6,113.8,109.5,109.3,111.2,109.7,116.3
2013-12-01,118.4,110.7,111.9,114.8,109.8,109.7,111.5,110.0,114.5
2014-01-01,115.8,111.6,112.2,115.4,110.7,110.3,111.6,110.6,113.6
2014-02-01,115.3,112.5,112.4,115.9,111.1,110.7,111.8,110.9,113.6
2014-03-01,116.1,113.2,112.5,116.4,111.4,111.2,112.0,111.3,114.2
2014-04-01,117.6,113.9,112.5,117.0,111.2,111.5,112.7,111.5,115.1
2014-05-01,118.9,114.3,112.5,117.6,111.3,111.8,113.0,111.8,115.8
2014-06-01,120.4,113.9,113.2,118.3,111.8,112.3,114.8,112.3,116.7
2014-07-01,124.7,114.8,113.9,119.1,113.1,112.7,116.8,113.3,119.2
2014-08-01,126.6,115.5,114.0,119.6,112.8,113.3,118.0,113.7,120.3
2014-09-01,125.8,116.1,114.3,120.1,112.0,113.7,118.6,113.7,120.1
2014-10-01,125.4,116.7,114.7,121.0,111.8,114.3,118.8,113.9,120.1
2014-11-01,125.1,117.1,115.5,121.6,110.8,114.8,119.0,113.8,120.1
2014-12-01,123.6,116.5,115.7,122.0,110.1,115.1,119.5,113.8,119.4
2015-01-01,123.1,117.3,116.5,122.5,109.4,115.5,119.7,114.0,119.5
2015-02-01,123.1,118.1,117.7,123.3,108.7,116.3,119.7,114.1,119.7
2015-03-01,123.4,118.6,118.3,123.7,109.9,116.7,120.1,114.7,120.2
2015-04-01,124.0,119.2,118.7,124.1,110.1,117.1,121.0,115.1,120.7
2015-05-01,125.0,119.6,119.2,124.7,112.0,117.7,121.4,116.1,121.6
2015-06-01,127.3,119.0,119.8,125.7,112.9,118.5,123.1,117.0,123.0
2015-07-01,128.2,119.9,120.1,126.1,112.7,119.0,124.4,117.2,123.6
2015-08-01,130.3,120.9,120.6,126.6,111.7,119.4,125.1,117.2,124.8
2015-09-01,131.2,121.6,120.4,127.2,111.3,119.8,125.7,117.5,125.4
2015-10-01,132.1,122.4,120.8,127.8,111.4,120.4,125.9,117.9,126.1
2015-11-01,132.7,122.9,121.6,128.6,111.5,120.9,126.3,118.1,126.6
2015-12-01,131.4,122.4,122.0,129.0,111.5,121.4,126.2,118.3,126.1
2016-01-01,131.3,123.4,122.7,129.5,111.1,122.0,126.3,118.5,126.3
2016-02-01,129.9,124.4,123.1,130.2,111.4,122.5,126.6,119.1,126.0
2016-03-01,129.8,124.9,122.4,130.5,110.9,122.9,126.9,119.3,126.0
2016-04-01,131.8,125.6,122.3,131.0,112.1,123.2,127.7,120.0,127.3
2016-05-01,134.0,126.0,122.7,131.4,112.8,123.7,128.5,120.7,128.6
2016-06-01,136.8,125.5,123.3,132.0,114.2,124.1,129.7,121.5,130.1
2016-07-01,138.4,126.4,123.4,132.7,113.9,124.5,130.8,121.9,131.1
2016-08-01,137.9,127.3,123.6,133.2,113.1,124.8,131.7,122.1,131.1
2016-09-01,136.6,127.9,124.1,133.8,114.3,125.4,131.8,122.8,130.9
2016-10-01,137.0,128.7,124.3,134.5,115.2,126.1,132.4,123.4,131.4
2016-11-01,136.1,129.1,125.0,135.0,115.7,126.4,132.8,123.8,131.2
2016-12-01,134.0,128.5,126.6,135.4,116.0,126.9,133.1,123.9,130.4
2017-01-01,133.1,129.6,126.8,135.6,117.0,127.1,133.3,124.4,130.3
2017-02-01,133.0,130.5,127.9,135.9,117.4,127.4,133.4,124.8,130.6
2017-03-01,133.1,131.1,129.1,136.4,117.6,127.8,133.8,125.1,130.9
2017-04-01,133.5,131.7,129.8,137.0,116.6,128.1,134.5,125.1,131.1
2017-05-01,133.7,132.1,129.4,137.2,116.7,128.4,134.8,125.3,131.4
2017-06-01,135.2,131.4,128.8,137.5,116.5,128.5,135.4,125.5,132.0
